N;S21024;S28192;S41024;S48192;W21024;W28192;W41024;W48192
1;2.7182;5.3295;2.8101;5.4663;5.4403;19.5874;8.0261;22.1968
2;2.7006;5.0621;1.7342;5.1663;5.394;21.0788;6.2512;16.2094
3;2.708;5.061;1.8192;5.3964;5.4704;10.1198;4.3515;10.2335
4;2.7059;5.3005;1.8031;5.41;5.8207;10.6928;5.0512;10.3484
5;2.6918;5.0658;1.9065;5.3225;5.8048;13.5663;4.2425;11.8185
6;2.7163;5.0657;1.9274;5.1719;6.0742;21.9887;4.5633;11.9471
7;2.6866;5.06;1.8848;5.5254;6.2502;10.1784;6.0362;11.8237
8;2.7002;5.4793;1.8513;5.3992;6.2212;10.1177;5.9905;11.8219
9;2.6804;5.0615;1.8571;5.6005;6.2668;10.1269;5.9801;11.8238
10;2.6903;5.4684;1.8491;5.3094;7.4;10.1264;5.9145;11.8282
11;2.7102;5.0718;1.8419;5.1618;6.2682;10.1259;5.8616;10.3402
12;2.8059;5.0601;1.5788;5.1654;8.415;10.3663;5.8606;11.2521
13;2.7019;5.1235;1.6326;5.0663;6.2407;10.3353;5.8657;11.8251
14;2.7054;5.0719;1.6931;5.179;6.2999;10.5725;7.8799;11.9323
15;2.6951;5.0636;1.7054;5.327;6.2358;10.1208;7.9107;11.8286
16;2.7053;5.4736;1.7133;5.1547;6.2204;10.1142;4.3296;11.8219
17;2.7032;5.0568;1.7917;5.2736;6.2239;10.1167;4.9541;11.8213
18;2.7034;5.0597;1.7723;5.1789;6.2266;10.2111;4.9899;11.8234
19;2.758;5.5234;1.9822;5.328;8.1635;11.7183;4.4278;11.8303
20;2.8896;5.0655;1.8975;5.1681;6.2364;11.721;4.9357;11.7918
21;2.771;5.4941;1.9672;5.1701;6.2044;11.7184;11.665;11.8252
22;2.7141;5.0593;2.0269;5.4015;6.2318;11.7167;7.9126;11.8202
23;2.8253;5.4775;1.9822;5.2287;6.3443;11.7146;7.8428;11.8207
24;2.7151;5.2466;1.954;5.406;6.2372;11.7189;11.8775;11.8237
25;2.7189;5.06;2.0699;5.3053;6.2195;11.7174;11.6166;11.9999
26;2.7104;5.2979;1.9343;5.1659;6.2146;11.718;5.9201;12.0404
27;2.7621;5.2906;1.9408;5.3889;6.244;11.7147;5.8839;11.8345
28;2.7054;5.0583;2.0095;5.1666;6.2581;11.7221;5.8718;21.8817
29;2.7043;5.0601;2.0422;5.1892;6.2119;11.7209;5.8631;22.2671
30;2.7137;5.4755;1.9906;5.1893;8.1408;11.7214;5.8609;18.3181